observation_number,observation_label,original_recording_id,observation_date,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_fraction,raw_at_site_seconds,foraging_within_raw_at_site_seconds,focal_visible_union_seconds,all_foraging_seconds
11,Observation 11,N8,2017-12-13,Observer 2,1,9,12.25,1800.0,0.425815555555556,302.3089999999993,198.1239999999998,302.3089999999993,198.1239999999998
11,Observation 11,N8,2017-12-13,Observer 2,1,10,12.75,1800.0,1.0,843.983000000002,397.27399999999943,843.983000000002,397.27399999999943
11,Observation 11,N8,2017-12-13,Observer 2,1,11,13.25,1800.0,1.0,335.78200000001016,190.74500000000262,335.78200000001016,190.74500000000262
11,Observation 11,N8,2017-12-13,Observer 2,1,12,13.75,1800.0,1.0,503.5939999999973,199.5600000000013,503.5939999999973,199.5600000000013
11,Observation 11,N8,2017-12-13,Observer 2,1,13,14.25,1800.0,1.0,143.48300000000017,0,143.48300000000017,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,14,14.75,1800.0,1.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,15,15.25,1800.0,1.0,7.717000000000553,6.110000000000582,7.717000000000553,6.110000000000582
11,Observation 11,N8,2017-12-13,Observer 2,1,16,15.75,1800.0,1.0,1186.0419999999976,107.79000000000815,1186.0419999999976,107.79000000000815
11,Observation 11,N8,2017-12-13,Observer 2,1,17,16.25,1800.0,1.0,780.831000000002,354.94700000000375,780.831000000002,354.94700000000375
11,Observation 11,N8,2017-12-13,Observer 2,1,18,16.75,1800.0,1.0,31.429000000000087,28.626000000000204,31.429000000000087,28.626000000000204
11,Observation 11,N8,2017-12-13,Observer 2,1,19,17.25,1800.0,1.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,20,17.75,1800.0,1.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,21,18.25,1800.0,1.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,22,18.75,1800.0,1.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,23,19.25,1800.0,1.0,0.0,0.0,0.0,0.0
11,Observation 11,N8,2017-12-13,Observer 2,1,24,19.66222222222222,1168.4700000000012,1.0,0.0,0.0,0.0,0.0
12,Observation 12,M(7),2017-12-14,Observer 1,0,1,10.908333333333333,660.0,0.0,38.24400000000003,36.26100000000008,38.24400000000003,36.26100000000008
12,Observation 12,M(7),2017-12-14,Observer 1,0,2,11.25,1800.0,0.0,1213.9850000000004,498.42700000000013,1213.9850000000004,498.42700000000013
12,Observation 12,M(7),2017-12-14,Observer 1,0,3,11.75,1800.0,0.0,1111.1359999999995,577.3089999999984,1111.1359999999995,577.3089999999984
12,Observation 12,M(7),2017-12-14,Observer 1,0,4,12.25,1800.0,0.0,545.1860000000006,184.375,545.1860000000006,184.375
12,Observation 12,M(7),2017-12-14,Observer 1,0,5,12.75,1800.0,0.0,698.7759999999989,324.259,838.9589999999998,464.4420000000009
12,Observation 12,M(7),2017-12-14,Observer 1,0,6,13.25,1800.0,0.0,692.8839999999973,443.73899999999594,692.8839999999973,443.73899999999594
12,Observation 12,M(7),2017-12-14,Observer 1,0,7,13.75,1800.0,0.0,1490.836999999996,476.4529999999995,1490.836999999996,476.4529999999995
12,Observation 12,M(7),2017-12-14,Observer 1,0,8,14.25,1800.0,0.0,1389.7249999999985,165.96100000000115,1389.7249999999985,165.96100000000115
12,Observation 12,M(7),2017-12-14,Observer 1,0,9,14.75,1800.0,0.0,0.0,0.0,0.0,0.0
12,Observation 12,M(7),2017-12-14,Observer 1,0,10,15.25,1800.0,0.0,523.7029999999995,116.77199999999539,523.7029999999995,116.77199999999539
12,Observation 12,M(7),2017-12-14,Observer 1,0,11,15.75,1800.0,0.0,209.6840000000011,19.10200000000259,209.6840000000011,19.10200000000259
12,Observation 12,M(7),2017-12-14,Observer 1,0,12,16.25,1800.0,0.0,307.86499999999796,305.6980000000003,307.86499999999796,305.6980000000003
12,Observation 12,M(7),2017-12-14,Observer 1,0,13,16.75,1800.0,0.0,98.91100000000006,98.42599999999948,98.91100000000006,98.42599999999948
12,Observation 12,M(7),2017-12-14,Observer 1,0,14,17.25,1800.0,0.0,0.0,0.0,0.0,0.0
12,Observation 12,M(7),2017-12-14,Observer 1,0,15,17.75,1800.0,0.0,0.0,0.0,0.0,0.0
12,Observation 12,M(7),2017-12-14,Observer 1,0,16,18.25,1800.0,0.0,0.0,0.0,0.0,0.0
12,Observation 12,M(7),2017-12-14,Observer 1,0,17,18.71944444444444,1581.0299999999988,0.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,1,6.991666666666667,60.0,0.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,2,7.25,1800.0,0.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,3,7.75,1800.0,0.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,4,8.25,1800.0,0.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,5,8.75,1800.0,0.0,245.6010000000024,218.19200000000274,245.6010000000024,218.19200000000274
13,Observation 13,V5,2017-12-15,Observer 3,1,6,9.25,1800.0,0.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,7,9.75,1800.0,0.0,510.98100000000704,297.24299999998766,510.98100000000704,297.24299999998766
13,Observation 13,V5,2017-12-15,Observer 3,1,8,10.25,1800.0,0.44590000000000146,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,9,10.75,1800.0,1.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,10,11.25,1800.0,1.0,344.4029999999984,106.08899999999267,344.4029999999984,106.08899999999267
13,Observation 13,V5,2017-12-15,Observer 3,1,11,11.75,1800.0,1.0,0.0,0.0,0.0,0.0
13,Observation 13,V5,2017-12-15,Observer 3,1,12,12.25,1800.0,1.0,109.12099999999919,87.89100000001054,109.12099999999919,87.89100000001054
13,Observation 13,V5,2017-12-15,Observer 3,1,13,12.75,1800.0,1.0,939.4730000000054,226.55200000001787,939.4730000000054,226.55200000001787
13,Observation 13,V5,2017-12-15,Observer 3,1,14,13.25,1800.0,1.0,0.0,0.0,0.0,0.0
